iata,name,latitude,longitude
WGE,Walgett Airport,-30.03280067,148.1260071
NGA,Young Airport,-34.25559998,148.2480011
RPM,Ngukurr Airport,-14.72280025,134.746994
CVC,Cleve Airport,-33.70970154,136.5050049
HTU,Hopetoun Airport,-35.71530151,142.3600006
KRA,Kerang Airport,-35.75139999,143.9389954
WKB,Warracknabeal Airport,-36.32109833,142.4190063
DCN,RAAF Base Curtin,-17.58139992,123.8280029
DRB,Derby Airport,-17.37000084,123.6610031
TEF,Telfer Airport,-21.71500015,122.2289963
ABH,Alpha Airport,-23.646099,146.584
WWY,West Wyalong Airport,-33.93719864,147.1909943
CSI,Casino Airport,-28.88279915,153.0670013
EVH,Evans Head Aerodrome,-29.09329987,153.4199982
,Mungindi Airport,-28.9666996,149.0579987
UIR,Quirindi Airport,-31.49060059,150.5140076
,Acacia Downs Airport,-31.41670036,141.8999939
,Barraba Airport,-30.38330078,150.6000061
,Biniguy Airport,-29.50499916,150.1920013
,Bingara Airport,-29.79999924,150.5330048
,Boggabri Airport,-30.7166996,150.0500031
,Bombala Airport,-36.90499878,149.1820068
,Cobden Airport,-38.326666,143.056666
,Coleambally Airport,-34.79999924,145.8500061
,Camden Haven Airport,-31.66500092,152.7420044
CUG,Cudal Airport,-33.27830124,148.7630005
,Gloucester Airport,-32.04999924,151.9830017
,Inverell North Airport,-29.76670074,151.1670074
,Katoomba Airport,-33.66830063,150.322998
,Mittagong Airport,-34.46670151,150.5
,Murwillumbah Airport,-28.33169937,153.4129944
,Cooranbong Airport,-33.06011175,151.4618969
BEO,Lake Macquarie Airport,-33.0667,151.647995
,Peak Hill Airport,-32.75,148.1999969
,Tottenham Airport,-32.24829865,147.3679962
,Tyagarah Airport,-28.59469604,153.5511017
WLC,Walcha Airport,-31,151.5670013
,Warialda Airport,-29.5333004,150.5330048
,Wentworth Airport,-34.0882988,141.8919983
,Clare Station Airport,-33.4068985,143.9400024
,Old Bar Heritage Airport,-31.96529961,152.5910034
,Scotia Sanctuary Airport,-33.2071991,141.1730042
,Cooranga Airport,-29.06669998,150.7669983
AWP,Austral Downs Airport,-20.5,137.75
,Batchelor Airport,-13.06669998,131.0330048
HMG,Hermannsburg Airport,-23.93000031,132.8049927
,Lucy Creek Airport,-22.4666996,136.2669983
MFP,Manners Creek Airport,-22.10000038,137.9830017
RRV,Robinson River Airport,-16.71829987,136.9450073
,Barkly Wayside Inn Airport,-19.70919991,135.8190002
GTT,Georgetown Airport,-18.30500031,143.5299988
IFL,Innisfail Airport,-17.55940056,146.0119934
SNH,Stanthorpe Airport,-28.62030029,151.9909973
WAZ,Warwick Airport,-28.14940071,151.9429932
ABG,Abingdon Downs Airport,-17.61669922,143.1670074
AUD,Augustus Downs Airport,-18.51499939,139.878006
AXC,Aramac Airport,-22.9666996,145.2420044
,Boonah Airport,-28.01670074,152.6820068
BCK,Bolwarra Airport,-17.38829994,144.1690063
CML,Camooweal Airport,-19.9116993,138.125
DJR,Dajarra Airport,-21.70829964,139.5330048
DVP,Davenport Downs Airport,-24.14999962,141.1080017
GGD,Gregory Downs Airport,-18.625,139.2330017
GVP,Greenvale Airport,-18.9966,145.0136
HIP,Headingly Airport,-21.33329964,138.2830048
IFF,Iffley Airport,-18.89999962,141.2169952
JUN,Jundah Airport,-24.8416996,143.0579987
LWH,Lawn Hill Airport,-18.56830025,138.6349945
,Mundubbera Airport,-25.5916996,151.3170013
WLE,Miles Airport,-26.80830002,150.1750031
,Moura Airport,-24.61170006,149.9949951
OSO,Osborne Mine Airport,-22.08169937,140.5549927
,Rainbow Beach Airport,-25.83329964,153.0670013
ROH,Robinhood Airport,-18.84499931,143.7100067
,Sweers Island Resort Airport,-17.12170029,139.5980072
,Torrens Creek Airport,-20.7833004,145
TDR,Theodore Airport,-24.99329948,150.0930023
,Tambo Airport,-24.85000038,146.2830048
UDA,Undara Airport,-18.20000076,144.6000061
,Urandangi Airport,-21.59000015,138.3580017
,Watts Bridge Airport,-27.09830093,152.4600067
,Yalkulka Airport,-16.73329926,145.3329926
,Logan Reserve Airport,-27.70829964,153.1049957
BIP,Bulimba Airport,-16.88080025,143.4790039
,Bowthorn Airport,-18.08329964,138.2749939
,Heck Field Airport,-27.7675,153.339444
,Hells Gate Airport,-17.4666996,138.3670044
,Lorraine Station Airport,-22.5333004,143.5169983
NAC,Naracoorte Airport,-36.98529816,140.7250061
MOO,Moomba Airport,-28.09939957,140.1970062
WUD,Wudinna Airport,-33.04330063,135.4470062
,Balaklava Airport,-34.08430099,138.3339996
,Cadney Homestead Airport,-27.9083004,134.0529938
CCW,Cowell Airport,-33.66669846,136.8919983
,Gawler Airport,-34.599934,138.719055
,Kimba Airport,-33.09999847,136.4600067
INM,Innamincka Airport,-27.70000076,140.7330017
,Kadina Airport,-33.97669983,137.6600037
,Kingston Airport,-36.82329941,139.875
,Maitland Airport,-34.39279938,137.7169952
RRE,Marree Airport,-29.66329956,138.0650024
,Mount Dare Airport,-26.06170082,135.246994
NUR,Nullabor Motel Airport,-31.44169998,130.9019928
,Rawnsley Park Airport,-31.65352821,138.6095276
,Tintinara Airport,-35.86669922,140.0670013
ORR,Yorketown Airport,-35,137.6170044
,Meningie Airport,-35.70000076,139.3329926
,Cook Airport,-30.61829948,130.4060059
HLS,St Helens Airport,-41.33670044,148.2819977
,Waratah Airport,-41.45000076,145.5500031
,Darlington Airport,-42.57274087,148.0691814
,Mole Creek Airport,-41.53329849,146.3329926
,Apollo Bay Airport,-38.77493023,143.6611748
,Bridgewater Airport,-36.61669922,143.9499969
,Bunyip Airport,-38.01670074,145.75
,Charlton Airport,-36.25,143.3000031
,Earlston Airport,-36.59628677,145.7218628
,Gabo Island Airport,-37.56669998,149.8999939
,Mitta Mitta Airport,-36.51387874,147.3590183
,Lake Bolac Airport,-37.68330002,142.8829956
,Lovely Banks Airport,-38.03329849,144.3329926
,Mansfield Airport,-37.06669998,146.1170044
,Phillip Island Airport,-38.52330017,145.3269958
,Wallan Airport,-37.43330002,144.9880066
,Yeaburn Airport,-37.17279816,145.3220062
,Ceres Airport,-38.14830017,144.2579956
,Chatsworth Airport,-37.83330154,142.7169952
,Fish Creek Airport,-38.71500015,146.0529938
,Lakes Entrance Airport,-37.87919998,147.9869995
,Longwood Airport,-36.80780029,145.4570007
OYN,Ouyen Airport,-35.08901243,142.3544884
,Wilsons Promontory Airport,-39.1310997,146.4250031
,Moonambel Airfield,-36.97166824,143.2861176
,St Leonards Airfield,-38.17010117,144.6889954
,Cunderdin Airport,-31.62220001,117.2170029
MJP,Manjimup Airport,-34.26530075,116.1399994
RVT,Ravensthorpe Airport,-33.79719925,120.2080002
,Warburton Airport,-26.12829971,126.5830002
,Beverley Airport,-32.13330078,116.9499969
,Ballidu Airport,-30.59329987,116.7799988
CGV,Caiguna Airport,-32.26499939,125.4929962
,Cape Leveque Airport,-16.39830017,122.9319992
,Forrestania Airport,-32.58000183,119.7030029
,Golden Grove Airport,-28.764898,116.972656
UBU,Kalumburu Airport,-14.28829956,126.6320038
KNI,Katanning Airport,-33.71670151,117.6330032
,Kojonup Airport,-33.76670074,117.1330032
,Lawlers Airport,-28.08329964,120.5
,Leeman Airport,-29.969953,114.983131
,Lake Grace Airport,-33.13330078,118.4000015
,Mount Augusta Airport,-24.29999924,116.9169998
MBB,Marble Bar Airport,-21.16329956,119.8330002
,Napier Downs Airport,-17.31669998,124.8499985
,Narembeen Airport,-32.11669922,118.4169998
,Quairading Airport,-32,117.4000015
,Three Springs Airport,-29.52791093,115.8580399
WIT,Wittenoom Airport,-22.21829987,118.3479996
,Westonia Airport,-31.33329964,118.6669998
,Myrup fly in estate Airport,-33.79370117,121.9580002
,Wheeler Field,-32.787491,115.7894826
,Preston Field - Blair Howe,-33.01879883,115.7009964
,Billabong Road House Airport,-26.81669998,114.6169968
,Cadjebut Airport,-18.70000076,125.9000015
,Dalwallinu Airport,-30.20000076,116.6500015
,Hillman Farm Airport,-33.26390076,116.8150024
,Manfred Airport,-26.45000076,116.5500031
,Mornington Station Airport,-17.39360046,126.2289963
,Myroodan Station Airport,-18.11669922,124.2669983
,Windjana Grove Airport,-17.42138759,124.925108
,York Airport,-31.85510063,116.7990036
,Abrolhos East Wallabi Island Airport,-28.43785,113.7355833
LNH,Lake Nash Airport,-20.9807,137.9178
,Atherton Airport,-17.26169968,145.5149994
BYX,Baniyala Airport,-13.19810009,136.227005
,Bungle Bungle Airport,-17.54529953,128.3070068
DYW,Daly Waters Airport,-16.26469507,133.383379
DYM,Diamantina Lakes Airport,-23.76169968,141.1450043
DKI,Dunk Island Airport,-17.94169998,146.1399994
,Euroa Aerodrome,-36.74470139,145.5130005
GKL,Great Keppel Is Airport,-23.18330002,150.9420013
HLV,Helenvale Airport,-15.6857996,145.2149963
PEA,Penneshaw Airport,-35.75584629,137.9628754
,Kapunda Airport,-34.25,138.9170074
KBJ,Kings Canyon Airport,-24.26000023,131.4900055
,Lake Clifton Airstrip,-32.79093552,115.6708832
,Merton Airport,-36.967704,145.707616
MYO,Camballin Airport,-18.12470055,124.2720032
NBH,Nambucca Heads Airport,-30.64999962,153
,Emkaytee (Unlic) Airport,-12.609664,131.054381
OKB,Orchid Beach Airport,-24.95940018,153.3150024
,Langley Park Airstrip,-31.96122932,115.8678665
PHQ,The Monument Airport,-21.81110001,139.923996
,Pinjarra Skydiving Airstrip,-32.6665196,115.8817452
,Robe Airport,-37.17536363,139.8052311
RBU,Roebourne Airport,-20.76169968,117.1569977
,Romsey Airport,-37.391667,144.738333
SGP,Shay Gap Airport,-20.42469978,120.1409988
SIX,Singleton Airport,-32.600832,151.193056
,Tenterfield Airport,-28.99155004,151.9301033
,Thistle Island Airport,-35.02470016,136.1799927
TYP,Tobermorey Airport,-22.25580025,137.9530029
TPR,Tom Price Airport,-22.74600029,117.8690033
,Warkworth Airport,-32.54912838,151.0242462
,Wickham Airport,-20.67579239,117.1250725
WON,Wondoola Airport,-18.57500076,140.8919983
KYI,Yalata Mission Airport,-31.47060013,131.8249969
,Newcastle Westpac Base Heliport,-32.92029953,151.7299957
,"RAAF Williams, Laverton Base",-37.86360168,144.7460022
,Koralta Station Airpirt,-31.624885,142.296143
,Gundaroo Airport,-35.0505,149.2559
,Robertson Barracks Heliport,-12.4255,130.9732
BHT,Brighton Downs Airport,-23.36388889,141.5627778
,Stirling Range Retreat,-34.31240082,118.185997
,Abrolhos North Island,-28.29981667,113.5958
,Abrolhos Rat Island,-28.7197,113.7845
,Nambung Station Private Airstrip,-30.577798,115.225055
,Ballina - Kingsford Smith Park Helipad,-28.8692,153.5713
,Baralaba,-24.19357,149.843166
,Millstream Station Field,-21.623761,117.081299
CKW,Graeme Rowley Aerodrome,-22.3543,119.6426
KFE,Fortescue - Dave Forrest Aerodrome,-22.290754,119.437143
,Royal Darwin Hospital Helipad,-12.35284,130.881645
,Denman Farm Strip,-32.379816,150.695005
,Drouin Airport,-38.208972,145.831097
,Valley View,-28.699218,114.911043
,Gold Coast University Hospital Helipad,-27.9595,153.382
,Somersby Airstrip,-33.3681,151.3
,Overlander Airport,-26.407707,114.45385
,Maitraya Resort Airstrip,-34.98746434,118.055563
SLJ,Solomon Airport,-22.2554,117.7627
,Kilcoy Airfield,-26.97138889,152.5697222
,YKCY,-26.971197,152.566855
,St George Hospital Helipad,-33.96807,151.13368
LYT,Lady Elliot Island Airstrip,-24.1129,152.7156
,Corunna Downs (WW II),-21.43613,119.790754
